 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> mars 02, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Gold.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  1,9311E+01 g/cm3 = 5,9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    3,180E+01  1,736E+00      51 A       104 A        75 A   
   1,10 keV   3,335E+01  1,761E+00      55 A       110 A        80 A   
   1,20 keV   3,484E+01  1,783E+00      59 A       116 A        84 A   
   1,30 keV   3,626E+01  1,801E+00      63 A       121 A        88 A   
   1,40 keV   3,763E+01  1,817E+00      67 A       127 A        92 A   
   1,50 keV   3,895E+01  1,831E+00      71 A       132 A        96 A   
   1,60 keV   4,022E+01  1,842E+00      75 A       138 A       100 A   
   1,70 keV   4,146E+01  1,853E+00      79 A       143 A       104 A   
   1,80 keV   4,266E+01  1,861E+00      82 A       148 A       108 A   
   2,00 keV   4,497E+01  1,875E+00      90 A       157 A       115 A   
   2,25 keV   4,728E+01  1,887E+00     100 A       169 A       124 A   
   2,50 keV   4,942E+01  1,894E+00     109 A       180 A       133 A   
   2,75 keV   5,144E+01  1,898E+00     119 A       191 A       141 A   
   3,00 keV   5,336E+01  1,899E+00     128 A       202 A       149 A   
   3,25 keV   5,520E+01  1,898E+00     138 A       213 A       157 A   
   3,50 keV   5,695E+01  1,895E+00     147 A       223 A       165 A   
   3,75 keV   5,864E+01  1,891E+00     157 A       233 A       173 A   
   4,00 keV   6,026E+01  1,885E+00     166 A       243 A       181 A   
   4,50 keV   6,335E+01  1,872E+00     185 A       262 A       196 A   
   5,00 keV   6,624E+01  1,856E+00     205 A       281 A       210 A   
